"","STCODE","ENTITY","SITECODE","WATERYEAR","DATE_TIME","LABNO","TYPE","INTERVAL","MEAN_LPS","Q_AREA_CM","QCODE","PH","PHCODE","COND","CONDCODE","ALK","ALKCODE","SSED","SSEDCODE","SI","SICODE","UTP","UTPCODE","TDP","TDPCODE","PARTP","PARTPCODE","PO4P","PO4PCODE","UTN","UTNCODE","TDN","TDNCODE","DON","DONCODE","PARTN","PARTNCODE","UTKN","UTKNCODE","TKN","TKNCODE","NH3N","NH3NCODE","NO3N","NO3NCODE","NA.","NACODE","K","KCODE","CA","CACODE","MG","MGCODE","SO4S","SO4SCODE","CL","CLCODE","DOC","DOCCODE","PVOL","PVOLCODE","ANCA","ANCACODE"
"36","CF002",1,"GSLOOK",2007,2007-05-15 14:10:00,"4109","F",21.23,2242.98,6.59,"A",7.3,"A",29.7,"A",14.75,"A",1.05,"A",7.74,"A",0.021,"A",0.019,"A",0.002,"D",0.011,"A",0.04,"A",0.04,"A",0.04,"D*",0,"D",NA,"N",NA,"N",0.005,"*",0,"*",1.86,"A",0.4,"A",2.69,"A",0.84,"A",0.08,"A",0.54,"A",0.87,"A",10.134,"A",1.07,"D*"
"37","CF002",1,"GSLOOK",2007,2007-06-04 15:45:00,"4124","P",20.07,1206.1,3.35,"E",7.5,"A",33,"A",16.71,"A",1.65,"A",8.27,"A",0.023,"A",0.021,"A",0.002,"D",0.013,"A",0.06,"A",0.03,"A",0.03,"D*",0.03,"D",NA,"N",NA,"N",0,"*",0,"*",2.04,"A",0.45,"A",3,"A",0.8,"A",0.08,"A",0.65,"A",1.34,"A",7.756,"Q",1.14,"D*"
"38","CF002",1,"GSLOOK",2007,2007-06-26 10:15:00,"4140","F",21.77,889.32,2.68,"A",7.5,"A",35.6,"A",17.75,"A",1.24,"A",8.7,"A",0.031,"A",0.034,"A",0,"D",0.013,"A",0.05,"A",0.05,"A",0.05,"D*",0,"D",NA,"N",NA,"N",0.004,"*",0.001,"*",2.19,"A",0.49,"A",3.27,"A",0.86,"A",0.08,"A",0.64,"A",0.81,"A",10.704,"A",1.11,"D*"
"39","CF002",1,"GSLOOK",2007,2007-07-17 12:25:00,"4155","F",21.09,548.07,1.6,"A",7.6,"A",38.6,"A",19.54,"A",3.22,"A",9.21,"A",0.045,"A",0.028,"A",0.017,"D",0.012,"A",0.06,"A",0.04,"A",0.04,"D*",0.02,"D",NA,"N",NA,"N",0.002,"*",0,"*",2.39,"A",0.56,"A",3.74,"A",0.9,"A",0.08,"A",0.67,"A",0.84,"A",10.58,"A",1.1,"D*"
"40","CF002",1,"GSLOOK",2007,2007-08-07 14:10:00,"4170","F",21.07,390.83,1.14,"A",7.6,"A",40.7,"A",20.21,"A",1.42,"A",9.51,"A",0.034,"A",0.031,"A",0.003,"D",0.012,"A",0.07,"A",0.05,"A",0.05,"D*",0.02,"D",NA,"N",NA,"N",0.002,"*",0.001,"*",2.55,"A",0.6,"A",3.75,"A",1.06,"A",0.08,"A",0.75,"A",0.91,"A",10.621,"A",1.08,"D*"
"41","CF002",1,"GSLOOK",2007,2007-08-28 14:30:00,"4185","F",21.01,326.61,0.95,"A",7.6,"A",40.4,"A",20.12,"A",1.38,"A",9.53,"A",0.032,"A",0.025,"A",0.007,"D",0.013,"A",0.06,"A",0.04,"A",0.04,"D*",0.02,"D",NA,"N",NA,"N",0,"*",0.001,"*",2.58,"A",0.61,"A",3.75,"A",0.92,"A",0.07,"A",0.71,"A",1,"A",11.225,"A",1.1,"D*"
"42","CF002",1,"GSLOOK",2007,2007-09-19 09:25:00,"4201","F",21.79,275.21,0.83,"A",7.5,"A",40.6,"A",20.5,"A",0.62,"A",9.49,"A",0.037,"A",0.029,"A",0.008,"D",0.015,"A",0.06,"A",0.05,"A",0.04,"D*",0.01,"D",NA,"N",NA,"N",0.011,"A",0.001,"*",2.59,"A",0.59,"A",3.84,"A",0.93,"A",0.08,"A",0.77,"A",0.8,"A",11.74,"A",1.1,"D*"
"43","CF002",1,"GSLOOK",2008,2007-10-10 10:10:00,"4216","F",21.03,480.91,1.4,"A",7.5,"A",39.1,"A",19.37,"A",1,"A",8.89,"A",0.031,"A",0.026,"A",0.005,"D",0.013,"A",0.06,"A",0.05,"A",0.05,"D*",0.01,"D",NA,"N",NA,"N",0.003,"*",0.001,"*",2.42,"A",0.52,"A",3.74,"A",1.03,"A",0.08,"A",0.84,"A",1,"A",11.155,"A",1.07,"D*"
"44","CF002",1,"GSLOOK",2008,2007-10-30 14:15:00,"4231","F",20.17,3015.8,8.42,"A",7.4,"A",34.2,"A",16.79,"A",4.37,"A",8.11,"A",0.03,"A",0.022,"A",0.008,"D",0.012,"A",0.1,"A",0.07,"A",0.05,"D",0.03,"D",NA,"N",NA,"N",0.011,"A",0.012,"A",2.09,"A",0.47,"A",3.29,"A",0.92,"A",0.08,"A",0.74,"A",1.28,"A",10.773,"A",1.06,"D"
"45","CF002",1,"GSLOOK",2008,2007-11-20 14:45:00,"4246","F",21.02,4725.57,13.75,"A",7.4,"A",32.5,"A",15.71,"A",2.53,"A",7.76,"A",0.025,"A",0.021,"A",0.004,"D",0.012,"A",0.06,"A",0.06,"A",0.05,"D",0,"D",NA,"N",NA,"N",0.011,"A",0.004,"A",2.09,"A",0.41,"A",3.12,"A",0.77,"A",0.08,"A",0.71,"A",1.18,"A",12.418,"A",1.06,"D"
"46","CF002",1,"GSLOOK",2008,2007-12-11 12:20:00,"4261","F",20.9,5980.21,17.3,"A",7.3,"A",30,"A",14.75,"A",1.16,"A",7.73,"A",0.027,"A",0.022,"A",0.005,"D",0.011,"A",0.06,"A",0.04,"A",0.03,"D",0.02,"D",NA,"N",NA,"N",0.003,"*",0.003,"A",1.99,"A",0.36,"A",2.94,"A",0.7,"A",0.08,"A",0.65,"A",0.93,"A",11.71,"A",1.06,"D"
"47","CF002",1,"GSLOOK",2008,2008-01-02 16:55:00,"4277","F",22.19,5475.83,16.82,"A",7.4,"A",30.2,"A",15.08,"A",3.1,"A",8.02,"A",0.026,"A",0.021,"A",0.005,"D",0.012,"A",0.03,"A",0.04,"A",0.03,"D*",0,"D",NA,"N",NA,"N",0.009,"*",0.001,"*",2.03,"A",0.35,"A",2.96,"A",0.69,"A",0.09,"A",0.64,"A",0.84,"A",12.146,"A",1.08,"D*"
"48","CF002",1,"GSLOOK",2008,2008-01-24 11:25:00,"4292","P",21.77,5850.29,17.63,"A",7.4,"A",30.2,"A",14.71,"A",1.47,"A",7.97,"A",0.031,"A",0.028,"A",0.003,"D",0.016,"A",0.07,"A",0.06,"A",0.04,"D",0.01,"D",NA,"N",NA,"N",0.018,"A",0.002,"A",2.03,"A",0.38,"A",2.87,"A",0.73,"A",0.1,"A",0.7,"A",0.94,"A",10.427,"Q",1.06,"D"
"49","CF002",1,"GSLOOK",2008,2008-02-12 16:25:00,"4307","P",19.21,3260.85,8.67,"A",7.3,"A",31,"A",14.96,"A",1.14,"A",7.83,"A",0.031,"A",0.024,"A",0.007,"D",0.014,"A",0.04,"A",0.05,"A",0.05,"D*",0,"D",NA,"N",NA,"N",0.003,"*",0.001,"*",2.07,"A",0.35,"A",2.97,"A",0.74,"A",0.1,"A",0.71,"A",0.74,"A",8.478,"Q",1.06,"D*"
"50","CF002",1,"GSLOOK",2008,2008-03-04 15:55:00,"4322","F",20.98,4697.09,13.64,"A",7.3,"A",31,"A",14.79,"A",0.93,"A",7.93,"A",0.026,"A",0.026,"A",0,"D",0.015,"A",0.03,"A",0.03,"A",0.03,"D*",0,"D",NA,"N",NA,"N",0.004,"*",0,"*",2.13,"A",0.39,"A",2.94,"A",0.74,"A",0.1,"A",0.73,"A",0.74,"A",10.631,"A",1.04,"D*"
"51","CF002",1,"GSLOOK",2008,2008-03-25 14:40:00,"4338","F",20.95,7280.29,21.11,"A",7.3,"A",29.4,"A",14.96,"A",1.62,"A",7.45,"A",0.028,"A",0.024,"A",0.004,"D",0.012,"A",0.04,"A",0.03,"A",0.02,"D*",0.01,"D",NA,"N",NA,"N",0.009,"*",0.001,"*",2.01,"A",0.37,"A",2.78,"A",0.74,"A",0.1,"A",0.68,"A",0.75,"A",10.997,"A",1.1,"D*"
"52","CF002",1,"GSLOOK",2008,2008-04-15 13:40:00,"4353","F",20.96,4043.36,11.73,"A",7.3,"A",30.5,"A",15.5,"A",0.73,"A",7.65,"A",0.028,"A",0.026,"A",0.002,"D",0.013,"A",0.04,"A",0.04,"A",0.03,"D*",0,"D",NA,"N",NA,"N",0.006,"*",0,"*",2.04,"A",0.35,"A",2.92,"A",0.77,"A",0.09,"A",0.69,"A",0.67,"A",10.642,"A",1.09,"D*"
